
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,836 K
Registry                       108 Services                   0     47,704 K
smss.exe                       444 Services                   0        336 K
csrss.exe                      648 Services                   0      5,104 K
csrss.exe                      748 Console                    1      6,164 K
wininit.exe                    772 Services                   0      5,812 K
winlogon.exe                   852 Console                    1     11,944 K
services.exe                   872 Services                   0      8,848 K
lsass.exe                      880 Services                   0     22,684 K
svchost.exe                     72 Services                   0     26,980 K
fontdrvhost.exe                552 Services                   0      2,360 K
fontdrvhost.exe                592 Console                    1      5,344 K
svchost.exe                    820 Services                   0     13,400 K
svchost.exe                   1060 Services                   0      7,552 K
dwm.exe                       1128 Console                    1    103,276 K
svchost.exe                   1216 Services                   0     13,488 K
svchost.exe                   1272 Services                   0     14,720 K
svchost.exe                   1304 Services                   0     12,784 K
svchost.exe                   1312 Services                   0      9,148 K
svchost.exe                   1432 Services                   0      9,428 K
svchost.exe                   1452 Services                   0      5,740 K
svchost.exe                   1520 Services                   0     14,096 K
svchost.exe                   1528 Services                   0      4,480 K
svchost.exe                   1536 Services                   0     11,332 K
svchost.exe                   1696 Services                   0      6,000 K
svchost.exe                   1712 Services                   0     10,004 K
svchost.exe                   1744 Services                   0      6,912 K
svchost.exe                   1828 Services                   0     11,456 K
svchost.exe                   1904 Services                   0      9,528 K
svchost.exe                   1964 Services                   0    107,392 K
svchost.exe                   1972 Services                   0      5,288 K
svchost.exe                   1980 Services                   0      6,492 K
Memory Compression            1028 Services                   0    451,384 K
svchost.exe                   1732 Services                   0      7,148 K
igfxCUIService.exe            2056 Services                   0      8,896 K
svchost.exe                   2096 Services                   0      7,124 K
svchost.exe                   2104 Services                   0      7,580 K
svchost.exe                   2172 Services                   0     17,116 K
svchost.exe                   2304 Services                   0     15,400 K
svchost.exe                   2384 Services                   0     13,892 K
RtkAudioService64.exe         2432 Services                   0      6,856 K
svchost.exe                   2440 Services                   0     10,964 K
RAVBg64.exe                   2584 Console                    1     16,052 K
RAVBg64.exe                   2604 Console                    1     15,460 K
svchost.exe                   2656 Services                   0      9,824 K
svchost.exe                   2664 Services                   0      8,616 K
svchost.exe                   2672 Services                   0      7,672 K
svchost.exe                   2760 Services                   0      5,424 K
svchost.exe                   2924 Services                   0      6,936 K
svchost.exe                   2996 Services                   0      6,164 K
svchost.exe                   3060 Services                   0     15,188 K
svchost.exe                   2636 Services                   0     11,384 K
spoolsv.exe                   3164 Services                   0     11,928 K
svchost.exe                   3200 Services                   0     13,844 K
svchost.exe                   3236 Services                   0      7,356 K
svchost.exe                   3472 Services                   0      5,200 K
svchost.exe                   3524 Services                   0      5,176 K
AdminService.exe              3536 Services                   0      5,824 K
svchost.exe                   3556 Services                   0      9,328 K
svchost.exe                   3564 Services                   0     32,640 K
svchost.exe                   3576 Services                   0      6,692 K
svchost.exe                   3584 Services                   0     13,684 K
svchost.exe                   3596 Services                   0     40,264 K
svchost.exe                   3668 Services                   0      5,672 K
svchost.exe                   3684 Services                   0      7,368 K
svchost.exe                   3720 Services                   0      4,756 K
svchost.exe                   3736 Services                   0      8,452 K
svchost.exe                   3764 Services                   0     18,412 K
MsMpEng.exe                   3780 Services                   0    178,604 K
svchost.exe                   3896 Services                   0      4,740 K
svchost.exe                   3952 Services                   0     11,268 K
OfficeClickToRun.exe          3256 Services                   0     36,176 K
SearchIndexer.exe             4660 Services                   0     39,060 K
svchost.exe                   4956 Services                   0      7,464 K
svchost.exe                   1204 Services                   0      7,304 K
svchost.exe                   3544 Services                   0      8,664 K
dllhost.exe                   4968 Services                   0     10,264 K
NisSrv.exe                    2144 Services                   0      9,340 K
sihost.exe                    1288 Console                    1     26,328 K
svchost.exe                   1856 Console                    1     24,824 K
svchost.exe                   1824 Console                    1     34,352 K
taskhostw.exe                 2616 Console                    1     17,416 K
PresentationFontCache.exe     2692 Services                   0     15,288 K
svchost.exe                   5036 Services                   0      7,036 K
svchost.exe                   1736 Services                   0     15,716 K
ctfmon.exe                    4752 Console                    1     29,624 K
