
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,836 K
Registry                       108 Services                   0     45,900 K
smss.exe                       444 Services                   0        336 K
csrss.exe                      648 Services                   0      5,068 K
csrss.exe                      748 Console                    1      6,188 K
wininit.exe                    772 Services                   0      5,812 K
winlogon.exe                   852 Console                    1     11,892 K
services.exe                   872 Services                   0      8,752 K
lsass.exe                      880 Services                   0     22,688 K
svchost.exe                     72 Services                   0     26,872 K
fontdrvhost.exe                552 Services                   0      2,368 K
fontdrvhost.exe                592 Console                    1      5,228 K
svchost.exe                    820 Services                   0     13,620 K
svchost.exe                   1060 Services                   0      7,560 K
dwm.exe                       1128 Console                    1     83,920 K
svchost.exe                   1216 Services                   0     15,400 K
svchost.exe                   1272 Services                   0     14,688 K
svchost.exe                   1304 Services                   0     12,792 K
svchost.exe                   1312 Services                   0      9,144 K
svchost.exe                   1432 Services                   0      9,372 K
svchost.exe                   1452 Services                   0      5,740 K
svchost.exe                   1520 Services                   0     14,360 K
svchost.exe                   1528 Services                   0      4,488 K
svchost.exe                   1536 Services                   0     11,208 K
svchost.exe                   1696 Services                   0      6,124 K
svchost.exe                   1712 Services                   0     10,048 K
svchost.exe                   1744 Services                   0      6,928 K
svchost.exe                   1828 Services                   0     11,496 K
svchost.exe                   1904 Services                   0      9,788 K
svchost.exe                   1964 Services                   0    108,412 K
svchost.exe                   1972 Services                   0      5,272 K
svchost.exe                   1980 Services                   0      7,076 K
Memory Compression            1028 Services                   0    464,564 K
svchost.exe                   1732 Services                   0      7,148 K
igfxCUIService.exe            2056 Services                   0      8,888 K
svchost.exe                   2096 Services                   0      7,384 K
svchost.exe                   2104 Services                   0      7,552 K
svchost.exe                   2172 Services                   0     18,488 K
svchost.exe                   2304 Services                   0     16,360 K
svchost.exe                   2384 Services                   0     13,940 K
RtkAudioService64.exe         2432 Services                   0      6,860 K
svchost.exe                   2440 Services                   0     11,152 K
RAVBg64.exe                   2584 Console                    1     16,344 K
RAVBg64.exe                   2604 Console                    1     15,716 K
svchost.exe                   2656 Services                   0      9,844 K
svchost.exe                   2664 Services                   0      8,620 K
svchost.exe                   2672 Services                   0      7,752 K
svchost.exe                   2760 Services                   0      5,444 K
svchost.exe                   2924 Services                   0      7,044 K
svchost.exe                   2996 Services                   0      6,172 K
svchost.exe                   3060 Services                   0     15,204 K
svchost.exe                   2636 Services                   0     11,388 K
spoolsv.exe                   3164 Services                   0     11,932 K
svchost.exe                   3200 Services                   0     13,832 K
svchost.exe                   3236 Services                   0      7,328 K
svchost.exe                   3472 Services                   0      5,200 K
svchost.exe                   3524 Services                   0      5,176 K
AdminService.exe              3536 Services                   0      5,828 K
svchost.exe                   3556 Services                   0      9,328 K
svchost.exe                   3564 Services                   0     37,992 K
svchost.exe                   3576 Services                   0      6,692 K
svchost.exe                   3584 Services                   0     13,900 K
svchost.exe                   3596 Services                   0     40,172 K
svchost.exe                   3668 Services                   0      5,680 K
svchost.exe                   3684 Services                   0      7,376 K
svchost.exe                   3720 Services                   0      4,700 K
svchost.exe                   3736 Services                   0      8,440 K
svchost.exe                   3764 Services                   0     18,540 K
MsMpEng.exe                   3780 Services                   0    193,872 K
svchost.exe                   3896 Services                   0      4,744 K
svchost.exe                   3952 Services                   0     11,276 K
OfficeClickToRun.exe          3256 Services                   0     36,220 K
SearchIndexer.exe             4660 Services                   0     37,696 K
svchost.exe                   4956 Services                   0      7,468 K
svchost.exe                   1204 Services                   0      7,304 K
svchost.exe                   3544 Services                   0      8,672 K
dllhost.exe                   4968 Services                   0      9,928 K
NisSrv.exe                    2144 Services                   0      9,344 K
sihost.exe                    1288 Console                    1     26,404 K
svchost.exe                   1856 Console                    1     24,820 K
svchost.exe                   1824 Console                    1     34,756 K
taskhostw.exe                 2616 Console                    1     17,140 K
PresentationFontCache.exe     2692 Services                   0     15,296 K
svchost.exe                   5036 Services                   0      7,036 K
svchost.exe                   1736 Services                   0     15,628 K
ctfmon.exe                    4752 Console                    1     29,760 K
