
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,884 K
Registry                       108 Services                   0     47,028 K
smss.exe                       444 Services                   0        336 K
csrss.exe                      648 Services                   0      5,112 K
csrss.exe                      748 Console                    1      6,108 K
wininit.exe                    772 Services                   0      5,812 K
winlogon.exe                   852 Console                    1     12,004 K
services.exe                   872 Services                   0      8,728 K
lsass.exe                      880 Services                   0     22,928 K
svchost.exe                     72 Services                   0     27,268 K
fontdrvhost.exe                552 Services                   0      2,432 K
fontdrvhost.exe                592 Console                    1      5,248 K
svchost.exe                    820 Services                   0     14,780 K
svchost.exe                   1060 Services                   0      7,620 K
dwm.exe                       1128 Console                    1     86,180 K
svchost.exe                   1216 Services                   0     13,516 K
svchost.exe                   1272 Services                   0     15,216 K
svchost.exe                   1304 Services                   0     12,792 K
svchost.exe                   1312 Services                   0      9,156 K
svchost.exe                   1432 Services                   0      9,424 K
svchost.exe                   1452 Services                   0      5,748 K
svchost.exe                   1520 Services                   0     13,800 K
svchost.exe                   1528 Services                   0      4,480 K
svchost.exe                   1536 Services                   0     11,084 K
svchost.exe                   1696 Services                   0      6,116 K
svchost.exe                   1712 Services                   0      9,996 K
svchost.exe                   1744 Services                   0      6,916 K
svchost.exe                   1828 Services                   0     11,628 K
svchost.exe                   1904 Services                   0      9,640 K
svchost.exe                   1964 Services                   0    106,660 K
svchost.exe                   1972 Services                   0      5,272 K
svchost.exe                   1980 Services                   0      6,520 K
Memory Compression            1028 Services                   0    240,032 K
svchost.exe                   1732 Services                   0      7,244 K
igfxCUIService.exe            2056 Services                   0      8,900 K
svchost.exe                   2096 Services                   0      7,148 K
svchost.exe                   2104 Services                   0      7,640 K
svchost.exe                   2172 Services                   0     18,200 K
svchost.exe                   2304 Services                   0     15,512 K
svchost.exe                   2384 Services                   0     13,900 K
RtkAudioService64.exe         2432 Services                   0      6,908 K
svchost.exe                   2440 Services                   0     11,084 K
RAVBg64.exe                   2584 Console                    1     15,812 K
RAVBg64.exe                   2604 Console                    1     15,464 K
svchost.exe                   2656 Services                   0      9,848 K
svchost.exe                   2664 Services                   0      8,668 K
svchost.exe                   2672 Services                   0      7,760 K
svchost.exe                   2760 Services                   0      5,440 K
svchost.exe                   2924 Services                   0      6,904 K
svchost.exe                   2996 Services                   0      6,164 K
svchost.exe                   3060 Services                   0     15,124 K
svchost.exe                   2636 Services                   0     11,720 K
spoolsv.exe                   3164 Services                   0     11,980 K
svchost.exe                   3200 Services                   0     14,120 K
svchost.exe                   3236 Services                   0      7,340 K
svchost.exe                   3472 Services                   0      5,196 K
svchost.exe                   3524 Services                   0      5,172 K
AdminService.exe              3536 Services                   0      5,824 K
svchost.exe                   3556 Services                   0      9,376 K
svchost.exe                   3564 Services                   0     34,812 K
svchost.exe                   3576 Services                   0      6,688 K
svchost.exe                   3584 Services                   0     13,660 K
svchost.exe                   3596 Services                   0     39,776 K
svchost.exe                   3668 Services                   0      5,672 K
svchost.exe                   3684 Services                   0      7,368 K
svchost.exe                   3720 Services                   0      4,752 K
svchost.exe                   3736 Services                   0      8,484 K
svchost.exe                   3764 Services                   0     18,876 K
MsMpEng.exe                   3780 Services                   0    246,316 K
svchost.exe                   3896 Services                   0      4,732 K
svchost.exe                   3952 Services                   0     11,276 K
OfficeClickToRun.exe          3256 Services                   0     36,156 K
SearchIndexer.exe             4660 Services                   0     39,344 K
svchost.exe                   4956 Services                   0      7,516 K
svchost.exe                   1204 Services                   0      7,376 K
svchost.exe                   3544 Services                   0      8,712 K
dllhost.exe                   4968 Services                   0     10,832 K
NisSrv.exe                    2144 Services                   0      9,688 K
sihost.exe                    1288 Console                    1     27,336 K
svchost.exe                   1856 Console                    1     31,056 K
svchost.exe                   1824 Console                    1     34,088 K
taskhostw.exe                 2616 Console                    1     17,156 K
PresentationFontCache.exe     2692 Services                   0     15,308 K
svchost.exe                   5036 Services                   0      7,052 K
svchost.exe                   1736 Services                   0     15,808 K
ctfmon.exe                    4752 Console                    1     29,764 K
